"file_spec.F378.dat"	"F395.dat"	"F410.dat"	"F430.dat"	"F515.dat"	"F660.dat"	"F861.dat"	"G.dat"	"I.dat"	"R.dat"	"U.dat"	"Z.dat"
"Ech1.30Zm0.25T00.0300_iTp0.00_baseFe.sed"	28.410153209722	28.1812111983695	28.1008093299406	28.1182109798481	28.1303889937269	28.0986292988082	27.9782812690668	28.1113414610176	28.0172616844444	28.0778124509153	28.6318641472549	28.585333778038
"Ech1.30Zm0.25T00.0400_iTp0.00_baseFe.sed"	28.6808456531837	28.4414510796756	28.3469194579826	28.3618312738191	28.3635948860821	28.3411914437285	28.2445968974374	28.3488432303146	28.2757937348837	28.315287258274	28.9064376955775	28.8513019816438
"Ech1.30Zm0.25T00.0500_iTp0.00_baseFe.sed"	28.8900386409879	28.6353820083328	28.5303719720403	28.5438603724596	28.5384308539815	28.5236816382619	28.4384009990289	28.5270162972241	28.4553477214382	28.4945087127967	29.1367908064791	29.0446110227666
"Ech1.30Zm0.25T00.0600_iTp0.00_baseFe.sed"	29.0491241174763	28.7817751426229	28.6656882978018	28.6764468274355	28.6573554921355	28.631612919136	28.538109199746	28.6509165051286	28.5531824710366	28.6047244128059	29.307324086779	29.1418586237024
"Ech1.30Zm0.25T00.0700_iTp0.00_baseFe.sed"	29.1859881131222	28.9058557519162	28.7833645875971	28.7942082850827	28.7759132133822	28.7621574860242	28.666682883437	28.7695587519212	28.6785541197105	28.7321935987393	29.4508867081731	29.2682283615205
"Ech1.30Zm0.25T00.0800_iTp0.00_baseFe.sed"	29.2934586165985	29.0056755971856	28.8759334144566	28.8853457492152	28.8602346173749	28.8462910029992	28.7499501518376	28.8567392657698	28.7628221407283	28.8157050253486	29.5706240057044	29.3505029926115
"Ech1.30Zm0.25T00.0900_iTp0.00_baseFe.sed"	29.3962563405885	29.100182020989	28.9641328465215	28.9712895168952	28.9383202140464	28.9211648469719	28.8225607604376	28.9385730325131	28.8316191376515	28.8911687437423	29.6811222929414	29.4221608797841
"Ech1.30Zm0.25T00.1000_iTp0.00_baseFe.sed"	29.4853953771685	29.1797900614665	29.0419133303262	29.0502305067233	29.0251908735683	29.0270046405612	28.92880575647	29.022614772484	28.9349527317837	28.9922932226818	29.7755065827435	29.5275284575675
"Ech1.30Zm0.25T00.1500_iTp0.00_baseFe.sed"	29.7895958807367	29.4434112200194	29.2868961152952	29.2976525176639	29.2656838606082	29.2868146418114	29.2015209621602	29.2661279403791	29.2023830755148	29.2439994956033	30.1087403645988	29.1840636288577
"Ech1.30Zm0.25T00.2000_iTp0.00_baseFe.sed"	30.0354426865202	29.6500825489181	29.4795684189837	29.49055904815	29.4495632894592	29.4789900501691	29.3876269988638	29.4540080154401	29.3898928525738	29.4325355338693	30.3857494629802	29.3668594793445
"Ech1.30Zm0.25T00.2500_iTp0.00_baseFe.sed"	30.2463069062432	29.8302858613719	29.6430916730324	29.6525088458652	29.6028299212339	29.6359004267777	29.5363550847376	29.6109598070931	29.5404791430631	29.5861052514611	30.6283628691267	29.5036861791505
"Ech1.30Zm0.25T00.3000_iTp0.00_baseFe.sed"	30.4316194082277	30.0039080475759	29.8027497684277	29.8073656650229	29.7413293946657	29.768377625194	29.666067182634	29.7561147596953	29.6687677425344	29.7185779060175	30.8179197834872	29.6248942172405
"Ech1.30Zm0.25T00.3500_iTp0.00_baseFe.sed"	30.6071967528972	30.1560423329091	29.9399209956097	29.9414009927686	29.8661356595405	29.887726449896	29.7822031128309	29.8855180417038	29.783275776254	29.8389207270984	31.0150651669394	29.7321746902396
