"label" "u-r" "F378-r" "F395-r" "F410-r" "F430-r" "g-r" "F515-r" "r-F660" "r-i" "r-F861" "r-z"
"Ech1.30Zm0.25T00.0300_iTp0.00_baseFe.sed" 1 0.554051696339585 0.332340758806637 0.103398747454207 0.022996879025257 0.0403985289327835 0.0335290101022707 0.0525765428115648 0.0208168478928599 -0.0605507664709108 -0.0995311818485334 0.507521327122632
"Ech1.30Zm0.25T00.0400_iTp0.00_baseFe.sed" 1 0.591150437303511 0.365558394909698 0.126163821401533 0.0316321997085396 0.0465440155450949 0.0335559720405882 0.0483076278081001 0.0259041854544506 -0.0394935233902771 -0.0706903608365792 0.53601472336976
"Ech1.30Zm0.25T00.0500_iTp0.00_baseFe.sed" 1 0.642282093682425 0.395529928191266 0.140873295536124 0.0358632592436123 0.0493516596629036 0.0325075844274352 0.0439221411848649 0.0291729254652182 -0.0391609913584858 -0.0561077137678012 0.55010230996993
"Ech1.30Zm0.25T00.0600_iTp0.00_baseFe.sed" 1 0.702599673973069 0.444399704670403 0.177050729816926 0.0609638849958856 0.0717224146296047 0.0461920923226984 0.0526310793295437 0.0268885063300672 -0.0515419417693579 -0.0666152130599613 0.537134210896468
"Ech1.30Zm0.25T00.0700_iTp0.00_baseFe.sed" 1 0.718693109433858 0.453794514382878 0.173662153176906 0.0511709888577911 0.0620146863434172 0.0373651531819661 0.0437196146428818 0.0299638872848789 -0.0536394790287886 -0.0655107153022385 0.536034762781213
"Ech1.30Zm0.25T00.0800_iTp0.00_baseFe.sed" 1 0.754918980355754 0.477753591249893 0.189970571836923 0.0602283891080049 0.0696407238665131 0.0410342404211548 0.0445295920262652 0.0305859776505883 -0.0528828846203169 -0.0657548735110538 0.534797967262875
"Ech1.30Zm0.25T00.0900_iTp0.00_baseFe.sed" 1 0.789953549199112 0.505087596846252 0.209013277246726 0.0729641027791672 0.0801207731529132 0.0474042887707782 0.0471514703041578 0.029996103229621 -0.0595496060908403 -0.0686079833046875 0.530992136041775
"Ech1.30Zm0.25T00.1000_iTp0.00_baseFe.sed" 1 0.783213360061666 0.493102154486635 0.187496838784682 0.0496201076443867 0.057937284041472 0.0303215498022098 0.0328976508864542 0.034711417879393 -0.0573404908981416 -0.0634874662118534 0.535235234885704
"Ech1.30Zm0.25T00.1500_iTp0.00_baseFe.sed" 1 0.864740868995526 0.54559638513345 0.199411724416152 0.0428966196919163 0.0536530220606153 0.0221284447757597 0.0216843650048588 0.042815146208099 -0.0416164200884594 -0.0424785334431448 -0.059935866745576
"Ech1.30Zm0.25T00.2000_iTp0.00_baseFe.sed" 1 0.953213929110817 0.6029071526509 0.217547015048766 0.0470328851143478 0.0580235142806913 0.0214724815708109 0.017027755589865 0.0464545162997183 -0.0426426812955043 -0.0449085350055469 -0.0656760545248432
"Ech1.30Zm0.25T00.2500_iTp0.00_baseFe.sed" 1 1.04225761766553 0.660201654782028 0.244180609910799 0.0569864215712812 0.0664035944040364 0.0248545556319613 0.0167246697727563 0.0497951753166035 -0.0456261083980678 -0.0497501667234985 -0.0824190723106284
"Ech1.30Zm0.25T00.3000_iTp0.00_baseFe.sed" 1 1.09934187746975 0.713041502210217 0.28533014155839 0.0841718624102015 0.0887877590054273 0.0375368536778069 0.0227514886481828 0.0497997191765336 -0.0498101634831301 -0.0525107233835342 -0.0936836887769772
"Ech1.30Zm0.25T00.3500_iTp0.00_baseFe.sed" 1 1.17614443984094 0.768276025798741 0.317121605810712 0.101000268511228 0.102480265670124 0.04659731460535 0.0272149324420354 0.0488057227975389 -0.0556449508444246 -0.0567176142675692 -0.106746036858851
"Ech1.30Zm0.25T00.4000_iTp0.00_baseFe.sed" 1 1.23368679682564 0.809712663159857 0.346897086889513 0.11900762718021 0.115175680562757 0.0547667173794224 0.0309976463044563 0.0483721170335087 -0.0623062783446926 -0.0637438686342477 -0.113574212729475
"Ech1.30Zm0.25T00.4500_iTp0.00_baseFe.sed" 1 1.26797242500631 0.841077933712171 0.379091765716765 0.14145246940295 0.134460677887887 0.067742901394567 0.0400439394705217 0.0454034496594318 -0.0674812267997993 -0.0689177374549672 -0.122857485300443
"Ech1.30Zm0.25T00.5000_iTp0.00_baseFe.sed" 1 1.35585702655878 0.917020476264526 0.446271480443357 0.187242916132135 0.173303841876958 0.0923533560196006 0.0524607240894852 0.042985161660539 -0.0769271470844899 -0.0795834453283391 -0.146425854240491
"Ech1.30Zm0.25T00.6000_iTp0.00_baseFe.sed" 1 1.42311289951705 0.994751385543665 0.545363923275545 0.258560945778427 0.233524487967941 0.130316305464433 0.0757513164436574 0.0384275133395278 -0.0913293509693176 -0.105734138153949 -0.17820957909997
"Ech1.30Zm0.25T00.7000_iTp0.00_baseFe.sed" 1 1.49569450452421 1.07233389176216 0.645481122717484 0.337504772483129 0.303520089478937 0.178060299806262 0.108775077422322 0.029191886060957 -0.108679831486569 -0.127508013322824 -0.205056060355446
"Ech1.30Zm0.25T00.8000_iTp0.00_baseFe.sed" 1 1.54781584180581 1.13852599194803 0.736252981436223 0.411820544088144 0.367132973721965 0.220221148657757 0.1383763061596 0.0196542010656913 -0.123099948101427 -0.14540934477219 -0.222905416084615
"Ech1.30Zm0.25T00.9000_iTp0.00_baseFe.sed" 1 1.62307444691228 1.22797842101946 0.850224631435196 0.501286647462493 0.443469423690743 0.269122162347315 0.171988845748146 0.0111247772341017 -0.139033498917087 -0.167834795940578 -0.256497851618477
"Ech1.30Zm0.25T01.0000_iTp0.00_baseFe.sed" 1 1.69610306718081 1.30882485701655 0.951843942125024 0.589075235846138 0.519927132625028 0.318518310381307 0.207816960060313 -0.00180506284272042 -0.159945764285496 -0.198309838808967 -0.28375825526156
"Ech1.30Zm0.25T01.2500_iTp0.00_baseFe.sed" 1 1.88134325680269 1.51522029005061 1.19766609655476 0.800086771800196 0.704287649283899 0.439981211132292 0.301303040538969 -0.0333621905858195 -0.23388598135476 -0.30326049497809 -0.410026519134661
"Ech1.30Zm0.25T01.5000_iTp0.00_baseFe.sed" 1 1.95548415745495 1.60209079213226 1.32255434661806 0.90585582905959 0.793680156037553 0.494757291709277 0.341626659224673 -0.0456265241782461 -0.25199535644758 -0.332179953084378 -0.415723307033886
"Ech1.30Zm0.25T01.7500_iTp0.00_baseFe.sed" 1 2.01320254230896 1.66515617241397 1.40478781622409 0.977855327637002 0.855625765950975 0.531392572988153 0.3679932218636 -0.0554549380648268 -0.273974566118454 -0.358396907716397 -0.420012578499765
"Ech1.30Zm0.25T02.0000_iTp0.00_baseFe.sed" 1 2.08539743037102 1.75486846016061 1.51477711620822 1.05547731418181 0.922995275491118 0.568538274441906 0.394335245511201 -0.063120338758182 -0.295286602002534 -0.390341122425042 -0.455107294988593
"Ech1.30Zm0.25T02.2500_iTp0.00_baseFe.sed" 1 2.11018675238145 1.79626799242678 1.57034374526117 1.09670932584234 0.958426334577155 0.589679779735164 0.410372216228552 -0.0681411287315399 -0.312268834677099 -0.412423919405896 -0.47980432781705
"Ech1.30Zm0.25T02.5000_iTp0.00_baseFe.sed" 1 2.07448657667727 1.76637586988402 1.55365223633534 1.07485330280009 0.940272104146047 0.576797495501879 0.399690250937937 -0.066068808562477 -0.304000216977158 -0.402302005367659 -0.462680248054795
"Ech1.30Zm0.25T02.7500_iTp0.00_baseFe.sed" 1 2.09886161760863 1.80110684968662 1.59438690696075 1.1051339753278 0.968517990688326 0.592214534134598 0.411147184143999 -0.0686287443298852 -0.310427279701145 -0.409758700960168 -0.471886230307547
"Ech1.30Zm0.25T03.0000_iTp0.00_baseFe.sed" 1 2.12823602678553 1.83451419909969 1.63173188421196 1.13032900836883 0.991539027122727 0.604280309238916 0.419994730684579 -0.0708661988184787 -0.315865129856206 -0.416876154828415 -0.478961726029894
"Ech1.30Zm0.25T03.2500_iTp0.00_baseFe.sed" 1 2.15642808335673 1.86662107487938 1.66522249054735 1.15468720072261 1.01371275880834 0.616227281194085 0.429023052566933 -0.0728935605464471 -0.320432673767257 -0.422550357193359 -0.486426874721957
"Ech1.30Zm0.25T03.5000_iTp0.00_baseFe.sed" 1 2.17170129644455 1.88308288179962 1.68436343859696 1.1674294799811 1.02549561881628 0.622592199667537 0.433954578960424 -0.0741776831472123 -0.323506317060961 -0.42657952414919 -0.489931339919949
"Ech1.30Zm0.25T03.7500_iTp0.00_baseFe.sed" 1 2.18142330330106 1.89402933815452 1.69753693329069 1.17543923585821 1.03322798703591 0.626516206026068 0.437229201724406 -0.0749286953930692 -0.327181658373547 -0.430472982684961 -0.49382941031061
"Ech1.30Zm0.25T04.0000_iTp0.00_baseFe.sed" 1 2.18784052506959 1.90161832038267 1.70620959972072 1.18218893175813 1.03975567638861 0.629895550867545 0.440045949099357 -0.0756754069681591 -0.32647191346166 -0.429573094238251 -0.49331443247965
"Ech1.30Zm0.25T04.5000_iTp0.00_baseFe.sed" 1 2.2145230476405 1.93144641431822 1.73757961552505 1.20485277724765 1.06097404351253 0.641410886135247 0.449244098906817 -0.0779031832404087 -0.331885117785816 -0.43816161271593 -0.503867102491526
"Ech1.30Zm0.25T05.0000_iTp0.00_baseFe.sed" 1 2.23012617191419 1.95203759361689 1.75987966591212 1.21780468689458 1.07304573510277 0.647314208439695 0.453908694776558 -0.0790502965169111 -0.33656681005121 -0.442455757093427 -0.51008624211785
"Ech1.30Zm0.25T05.5000_iTp0.00_baseFe.sed" 1 2.24317255797638 1.96871805276163 1.77793440004446 1.23057068925651 1.08588382486634 0.653875179431694 0.459687443630116 -0.0805489282165155 -0.339177882250738 -0.44676494593439 -0.514165590125529
"Ech1.30Zm0.25T06.0000_iTp0.00_baseFe.sed" 1 2.26257276492785 1.99353875849494 1.80391755325358 1.24805862018459 1.10214566483319 0.662391845237252 0.466271099220009 -0.0824120275004532 -0.345711405681996 -0.452124159691223 -0.520199214866395
"Ech1.30Zm0.25T06.5000_iTp0.00_baseFe.sed" 1 2.28689179341069 2.02057622606384 1.83143006453028 1.26670235365754 1.11889316588881 0.671247113559957 0.473706661324343 -0.0841833702556869 -0.349479198921813 -0.456832161636243 -0.524432692981264
"Ech1.30Zm0.25T07.0000_iTp0.00_baseFe.sed" 1 2.29158848721677 2.02883914663659 1.84043524912333 1.27205223903881 1.1250510014719 0.674238857849758 0.476734618620398 -0.0851215899042472 -0.351185129615374 -0.457744855159191 -0.52429599529647
"Ech1.30Zm0.25T07.5000_iTp0.00_baseFe.sed" 1 2.30987219311109 2.04952020347777 1.86110072012382 1.28656427676991 1.13794850411391 0.6808805608254 0.482236338148951 -0.0865583223123281 -0.355241692319183 -0.462838459417441 -0.52965490002957
"Ech1.30Zm0.25T08.0000_iTp0.00_baseFe.sed" 1 2.32602718365008 2.06902828226771 1.88016533362614 1.30010372929908 1.15022646005681 0.687153452412957 0.487108735746546 -0.0879379095603952 -0.359181843814511 -0.467650173707 -0.534147978464489
"Ech1.30Zm0.25T08.5000_iTp0.00_baseFe.sed" 1 2.340177421785 2.08567043316123 1.89673468113428 1.31206446744154 1.16122779822746 0.692927434690645 0.491868075274212 -0.0892196569124195 -0.363285676656474 -0.471879660974025 -0.537593213595727
"Ech1.30Zm0.25T09.0000_iTp0.00_baseFe.sed" 1 2.35345672101003 2.10167245445555 1.91209786623284 1.32381733952131 1.17149908840298 0.698172817115449 0.496176493750667 -0.0905402696579074 -0.365657559142548 -0.47623923743889 -0.540596221797585
"Ech1.30Zm0.25T09.5000_iTp0.00_baseFe.sed" 1 2.36567836440901 2.11612911538218 1.92688510405006 1.33468996814489 1.18139530686496 0.703380239527817 0.500782563789571 -0.0916117076943692 -0.368122132737625 -0.480129303439909 -0.545085459243623
"Ech1.30Zm0.25T10.0000_iTp0.00_baseFe.sed" 1 2.38351717954983 2.13587170503295 1.94594485521041 1.34832495938709 1.19282237048608 0.709744881010153 0.505869299854467 -0.0930436047616467 -0.373376325627206 -0.484943640398455 -0.548156855192573
"Ech1.30Zm0.25T10.5000_iTp0.00_baseFe.sed" 1 2.39741042022264 2.1507628676127 1.95957798070978 1.35897519622308 1.20199853411489 0.714876355234338 0.510430302195857 -0.0942600775365747 -0.376326484505029 -0.487499496591681 -0.548468737235581
"Ech1.30Zm0.25T11.0000_iTp0.00_baseFe.sed" 1 2.41619231339521 2.16960469200562 1.97683141782916 1.37142774833757 1.21298723241429 0.720709873877126 0.51520232564296 -0.0956936046536754 -0.379275686552759 -0.489408760127802 -0.550449635074656
"Ech1.30Zm0.25T11.5000_iTp0.00_baseFe.sed" 1 2.43405308256776 2.18791280735344 1.99367777934994 1.38448980574995 1.22395679743002 0.726494063239841 0.519749161069498 -0.0966822220642882 -0.381036860319156 -0.491355965276924 -0.553003665726024
"Ech1.30Zm0.25T12.0000_iTp0.00_baseFe.sed" 1 2.44432612065158 2.20014002975323 2.00610923102445 1.39166032070088 1.23034484991318 0.729519931486095 0.522374550004599 -0.0973232629777669 -0.384021497297013 -0.493936824664203 -0.553731682307685
"Ech1.30Zm0.25T12.5000_iTp0.00_baseFe.sed" 1 2.45552910659197 2.21226192905866 2.01807281738562 1.39908591697365 1.2369769142567 0.732807742754375 0.525107283565177 -0.0980441765379396 -0.385486135319709 -0.496306734705456 -0.553918305876124
"Ech1.30Zm0.25T13.0000_iTp0.00_baseFe.sed" 1 2.47082233161828 2.2279329257335 2.0326492222294 1.4090514557228 1.2457375054322 0.737095829782035 0.528457982666296 -0.0987771478998951 -0.388160937339023 -0.498112962355847 -0.554842748169904
"Ech1.30Zm0.25T13.5000_iTp0.00_baseFe.sed" 1 2.47872139654514 2.2361373038171 2.04074129283391 1.41415141345421 1.25072237335401 0.73944103803656 0.530683175779302 -0.0995254670947503 -0.389367003235677 -0.500479419596473 -0.558536656143659
"Ech1.30Zm0.25T14.0000_iTp0.00_baseFe.sed" 1 2.48839275361728 2.24612730444571 2.04843419933908 1.42010812332303 1.25686975174023 0.741879029910493 0.533315237944322 -0.0998443881425572 -0.390397239685655 -0.502748828161756 -0.560775010087795
"Ech1.30Zm0.35T00.0300_iTp0.00_baseFe.sed" 1 0.667580684977722 0.544085800905293 0.322990045291277 0.234748691152078 0.239967828136415 0.182535003590857 0.176802779882308 -0.0156481015389431 -0.142695752202215 -0.236115737917899 0.370676015538194
"Ech1.30Zm0.35T00.0400_iTp0.00_baseFe.sed" 1 0.718554983339274 0.518238100907212 0.274433462178806 0.166320842832988 0.172043626354437 0.123696215148925 0.11874255780441 0.0040525445697881 -0.083898781887001 -0.137093078854434 0.469108794711545
"Ech1.30Zm0.35T00.0500_iTp0.00_baseFe.sed" 1 0.732996638071342 0.507889557354716 0.250464201897842 0.134701707776358 0.142034052869704 0.0992805156906513 0.0971416090064565 0.0121947024073279 -0.0684527788003777 -0.103492261140374 0.502377720293055
"Ech1.30Zm0.35T00.0600_iTp0.00_baseFe.sed" 1 0.779208193389778 0.534685769945526 0.264692440340397 0.140627533834163 0.147089664728767 0.100872493193606 0.0958024387157934 0.0131840603623345 -0.0785045465403016 -0.106136681938196 0.497659961381146
"Ech1.30Zm0.35T00.0700_iTp0.00_baseFe.sed" 1 0.777257737662282 0.523470530883287 0.244653655717642 0.114957436617487 0.122822814524966 0.081624345585368 0.0774677697861108 0.018953699908792 -0.0754548446739136 -0.0995728322402414 0.502540742087263
